Target,Left_Word,Right_Word,Correct
Daffodil,Flowers,Insect,1
Rose,Flowers,Insect,1
Daisy,Flowers,Insect,1
Sunflower,Flowers,Insect,1
Tulip,Flowers,Insect,1
Bugs,Flowers,Insect,2
Fly,Flowers,Insect,1
Caterpillar,Flowers,Insect,2
Ant,Flowers,Insect,2
Dragonfly,Flowers,Insect,2
