Target,Left_Word,Right_Word,Correct
Daffodil,Flowers or Bad,Insects or Good,1
Rose,Flowers or Bad,Insects or Good,1
Daisy,Flowers or Bad,Insects or Good,1
Sunflower,Flowers or Bad,Insects or Good,1
Tulip,Flowers or Bad,Insects or Good,1
Bugs,Flowers or Bad,Insects or Good,2
Fly,Flowers or Bad,Insects or Good,2
Caterpillar,Flowers or Bad,Insects or Good,2
Ant,Flowers or Bad,Insects or Good,2
Dragonfly,Flowers or Bad,Insects or Good,2
Peace,Flowers or Bad,Insects or Good,2
Pleasure,Flowers or Bad,Insects or Good,2
Joy,Flowers or Bad,Insects or Good,2
Love,Flowers or Bad,Insects or Good,2
Wonderful,Flowers or Bad,Insects or Good,2
Pain,Flowers or Bad,Insects or Good,1
Terrible,Flowers or Bad,Insects or Good,1
Rotten,Flowers or Bad,Insects or Good,1
Nasty,Flowers or Bad,Insects or Good,1
Sad,Flowers or Bad,Insects or Good,1
