ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,2703.jpg, 0.357, 0.410, 0.548, 0.236, 0.445, 0.298
iaps,2704.jpg, 0.230, 0.310, 0.385, 0.338, 0.194, 0.243
iaps,2710.jpg, 0.291, 0.274, 0.361, 0.323, 0.664, 0.194
iaps,2715.jpg, 0.376, 0.431, 0.541, 0.226, 0.269, 0.309
iaps,2716.jpg, 0.076, 0.100, 0.376, 0.321, 0.299, 0.313
iaps,2717.jpg, 0.119, 0.230, 0.499, 0.266, 0.335, 0.231
iaps,2718.jpg, 0.218, 0.215, 0.363, 0.212, 0.462, 0.285
iaps,2720.jpg, 0.088, 0.099, 0.328, 0.132, 0.681, 0.177
iaps,2722.jpg, 0.407, 0.351, 0.180, 0.179, 0.265, 0.296
iaps,2730.jpg, 0.265, 0.410, 0.600, 0.262, 0.486, 0.282
iaps,2745.1.jpg, 0.497, 0.333, 0.275, 0.243, 0.571, 0.300
iaps,2745.2.jpg, 0.510, 0.314, 0.277, 0.227, 0.567, 0.318
iaps,2749.jpg, 0.299, 0.378, 0.479, 0.366, 0.438, 0.364
iaps,2750.jpg, 0.347, 0.332, 0.592, 0.438, 0.108, 0.228
iaps,2751.jpg, 0.540, 0.253, 0.293, 0.176, 0.327, 0.284
iaps,2752.jpg, 0.432, 0.224, 0.220, 0.152, 0.600, 0.344
iaps,2753.jpg, 0.050, 0.079, 0.276, 0.268, 0.367, 0.383
iaps,2770.jpg, 0.117, 0.162, 0.424, 0.261, 0.479, 0.215
iaps,2780.jpg, 0.321, 0.317, 0.235, 0.293, 0.186, 0.308
iaps,2791.jpg, 0.365, 0.426, 0.677, 0.278, 0.298, 0.308
iaps,2795.jpg, 0.222, 0.332, 0.195, 0.243, 0.198, 0.284
iaps,2799.jpg, 0.284, 0.337, 0.349, 0.308, 0.416, 0.353
iaps,2800.jpg, 0.123, 0.137, 0.485, 0.276, 0.456, 0.184
iaps,2810.jpg, 0.359, 0.416, 0.621, 0.320, 0.268, 0.264
iaps,2811.jpg, 0.129, 0.272, 0.440, 0.162, 0.527, 0.213
iaps,2830.jpg, 0.172, 0.329, 0.348, 0.329, 0.197, 0.238
iaps,2840.jpg, 0.184, 0.259, 0.654, 0.226, 0.486, 0.267
iaps,2850.jpg, 0.208, 0.311, 0.564, 0.228, 0.459, 0.275
iaps,2870.jpg, 0.170, 0.200, 0.415, 0.270, 0.337, 0.301
iaps,2880.jpg, 0.123, 0.160, 0.297, 0.201, 0.494, 0.289
iaps,2890.jpg, 0.366, 0.440, 0.343, 0.344, 0.154, 0.227
iaps,2900.1.jpg, 0.353, 0.398, 0.674, 0.303, 0.414, 0.329
iaps,2900.2.jpg, 0.464, 0.382, 0.517, 0.247, 0.401, 0.325
iaps,2900.jpg, 0.353, 0.398, 0.674, 0.303, 0.414, 0.329
iaps,2980.jpg, 0.353, 0.326, 0.320, 0.284, 0.255, 0.217
iaps,2981.jpg, 0.393, 0.330, 0.304, 0.249, 0.270, 0.223
iaps,3000.jpg, 0.200, 0.291, 0.776, 0.319, 0.412, 0.231
iaps,3001.jpg, 0.261, 0.281, 0.283, 0.161, 0.569, 0.254
iaps,3005.1.jpg, 0.170, 0.308, 0.150, 0.215, 0.156, 0.226
iaps,3005.2.jpg, 0.170, 0.307, 0.153, 0.219, 0.151, 0.218
iaps,3010.jpg, 0.133, 0.270, 0.487, 0.409, 0.753, 0.313
iaps,3015.jpg, 0.110, 0.088, 0.372, 0.283, 0.508, 0.305
iaps,3016.jpg, 0.188, 0.306, 0.313, 0.218, 0.295, 0.262
iaps,3017.jpg, 0.092, 0.173, 0.590, 0.413, 0.150, 0.231
iaps,3019.jpg, 0.651, 0.391, 0.424, 0.294, 0.649, 0.268
iaps,3022.jpg, 0.156, 0.109, 0.611, 0.263, 0.682, 0.344
iaps,3030.jpg, 0.161, 0.231, 0.368, 0.308, 0.645, 0.342
iaps,3051.jpg, 0.194, 0.227, 0.644, 0.322, 0.595, 0.265
iaps,3053.jpg, 0.158, 0.280, 0.501, 0.401, 0.608, 0.370
iaps,3059.jpg, 0.134, 0.189, 0.409, 0.182, 0.594, 0.335
iaps,3060.jpg, 0.155, 0.237, 0.561, 0.262, 0.679, 0.241
iaps,3061.jpg, 0.177, 0.308, 0.330, 0.332, 0.285, 0.325
iaps,3062.jpg, 0.251, 0.323, 0.183, 0.266, 0.296, 0.318
iaps,3063.jpg, 0.208, 0.286, 0.286, 0.311, 0.405, 0.371
iaps,3064.jpg, 0.224, 0.338, 0.508, 0.229, 0.453, 0.289
iaps,3068.jpg, 0.351, 0.258, 0.353, 0.238, 0.524, 0.268
iaps,3069.jpg, 0.275, 0.288, 0.449, 0.290, 0.693, 0.191
iaps,3071.jpg, 0.159, 0.275, 0.739, 0.298, 0.499, 0.241
iaps,3080.jpg, 0.264, 0.227, 0.517, 0.289, 0.530, 0.309
iaps,3100.jpg, 0.130, 0.275, 0.657, 0.361, 0.570, 0.303
iaps,3101.jpg, 0.060, 0.115, 0.325, 0.305, 0.377, 0.407
iaps,3102.jpg, 0.295, 0.409, 0.457, 0.413, 0.338, 0.298
iaps,3103.jpg, 0.399, 0.311, 0.296, 0.191, 0.696, 0.151
iaps,3110.jpg, 0.239, 0.197, 0.351, 0.259, 0.480, 0.316
iaps,3120.jpg, 0.129, 0.211, 0.591, 0.404, 0.635, 0.334
iaps,3130.jpg, 0.102, 0.214, 0.473, 0.361, 0.704, 0.307
iaps,3131.jpg, 0.186, 0.288, 0.365, 0.196, 0.779, 0.215
iaps,3140.jpg, 0.387, 0.401, 0.340, 0.218, 0.531, 0.323
iaps,3150.jpg, 0.331, 0.406, 0.654, 0.364, 0.470, 0.278
iaps,3160.jpg, 0.061, 0.066, 0.649, 0.232, 0.521, 0.246
iaps,3168.jpg, 0.084, 0.186, 0.404, 0.416, 0.328, 0.386
iaps,3170.jpg, 0.157, 0.303, 0.501, 0.318, 0.599, 0.331
iaps,3180.jpg, 0.416, 0.337, 0.629, 0.395, 0.289, 0.280
iaps,3181.jpg, 0.150, 0.098, 0.650, 0.375, 0.592, 0.397
iaps,3185.jpg, 0.082, 0.113, 0.240, 0.223, 0.505, 0.365
iaps,3190.jpg, 0.146, 0.178, 0.460, 0.301, 0.614, 0.294
iaps,3191.jpg, 0.357, 0.359, 0.234, 0.256, 0.366, 0.352
iaps,3195.jpg, 0.363, 0.222, 0.526, 0.275, 0.713, 0.241
iaps,3210.jpg, 0.484, 0.290, 0.286, 0.275, 0.745, 0.285
iaps,3211.jpg, 0.404, 0.215, 0.446, 0.269, 0.401, 0.252
iaps,3212.jpg, 0.402, 0.293, 0.318, 0.219, 0.565, 0.252
iaps,3213.jpg, 0.310, 0.315, 0.496, 0.295, 0.700, 0.348
iaps,3215.jpg, 0.100, 0.168, 0.170, 0.232, 0.368, 0.373
iaps,3216.jpg, 0.457, 0.243, 0.206, 0.143, 0.304, 0.168
iaps,3220.jpg, 0.055, 0.111, 0.216, 0.326, 0.271, 0.327
iaps,3225.jpg, 0.313, 0.287, 0.325, 0.262, 0.337, 0.363
iaps,3230.jpg, 0.238, 0.356, 0.479, 0.354, 0.366, 0.272
iaps,3250.jpg, 0.172, 0.315, 0.693, 0.297, 0.561, 0.241
iaps,3261.jpg, 0.368, 0.391, 0.477, 0.171, 0.471, 0.294
iaps,3266.jpg, 0.053, 0.083, 0.337, 0.378, 0.356, 0.412
iaps,3280.jpg, 0.158, 0.210, 0.387, 0.336, 0.465, 0.338
iaps,3300.jpg, 0.245, 0.236, 0.501, 0.384, 0.529, 0.370
iaps,3301.jpg, 0.097, 0.174, 0.245, 0.329, 0.257, 0.356
iaps,3302.jpg, 0.127, 0.197, 0.321, 0.285, 0.451, 0.343
iaps,3310.jpg, 0.383, 0.341, 0.187, 0.226, 0.802, 0.144
iaps,3350.jpg, 0.354, 0.428, 0.409, 0.281, 0.427, 0.328
iaps,3360.jpg, 0.324, 0.252, 0.415, 0.274, 0.418, 0.281
iaps,3400.jpg, 0.406, 0.243, 0.673, 0.261, 0.614, 0.273
iaps,3500.jpg, 0.220, 0.363, 0.599, 0.311, 0.489, 0.362
iaps,3530.jpg, 0.169, 0.211, 0.500, 0.323, 0.524, 0.311
iaps,3550.1.jpg, 0.193, 0.119, 0.444, 0.315, 0.646, 0.328
iaps,3550.2.jpg, 0.182, 0.127, 0.354, 0.281, 0.642, 0.326
iaps,3550.jpg, 0.126, 0.203, 0.230, 0.353, 0.289, 0.382
iaps,4000.jpg, 0.075, 0.192, 0.287, 0.298, 0.266, 0.279
iaps,4001.jpg, 0.392, 0.359, 0.303, 0.286, 0.369, 0.335
iaps,4002.jpg, 0.314, 0.293, 0.374, 0.335, 0.600, 0.245
iaps,4003.jpg, 0.620, 0.230, 0.516, 0.144, 0.449, 0.257
iaps,4004.jpg, 0.219, 0.372, 0.306, 0.277, 0.209, 0.244
iaps,4005.jpg, 0.201, 0.340, 0.252, 0.288, 0.395, 0.396
iaps,4006.jpg, 0.651, 0.244, 0.269, 0.170, 0.629, 0.305
iaps,4007.jpg, 0.150, 0.169, 0.257, 0.223, 0.671, 0.276
iaps,4008.jpg, 0.096, 0.097, 0.358, 0.273, 0.652, 0.241
iaps,4071.jpg, 0.096, 0.122, 0.435, 0.267, 0.748, 0.280
iaps,4085.jpg, 0.131, 0.207, 0.372, 0.249, 0.590, 0.317
iaps,4090.jpg, 0.228, 0.279, 0.366, 0.253, 0.600, 0.227
iaps,4100.jpg, 0.055, 0.119, 0.189, 0.251, 0.208, 0.277
iaps,4130.jpg, 0.092, 0.116, 0.547, 0.170, 0.818, 0.198
iaps,4141.jpg, 0.111, 0.211, 0.234, 0.318, 0.181, 0.297
iaps,4142.jpg, 0.105, 0.229, 0.193, 0.213, 0.218, 0.288
iaps,4150.jpg, 0.160, 0.161, 0.568, 0.259, 0.336, 0.206
iaps,4180.jpg, 0.202, 0.339, 0.576, 0.446, 0.462, 0.374
iaps,4210.jpg, 0.109, 0.123, 0.321, 0.285, 0.834, 0.240
iaps,4220.jpg, 0.436, 0.299, 0.415, 0.327, 0.423, 0.317
iaps,4225.jpg, 0.205, 0.317, 0.427, 0.302, 0.412, 0.325
iaps,4230.jpg, 0.168, 0.292, 0.317, 0.406, 0.185, 0.275
iaps,4232.jpg, 0.094, 0.151, 0.330, 0.338, 0.485, 0.403
iaps,4233.jpg, 0.263, 0.312, 0.119, 0.174, 0.326, 0.379
iaps,4235.jpg, 0.199, 0.294, 0.517, 0.224, 0.624, 0.320
iaps,4240.jpg, 0.152, 0.309, 0.259, 0.338, 0.256, 0.317
iaps,4250.jpg, 0.319, 0.313, 0.700, 0.303, 0.368, 0.333
iaps,4255.jpg, 0.159, 0.207, 0.249, 0.303, 0.229, 0.330
iaps,4274.jpg, 0.533, 0.418, 0.549, 0.384, 0.494, 0.289
iaps,4275.jpg, 0.263, 0.340, 0.656, 0.257, 0.449, 0.253
iaps,4279.jpg, 0.110, 0.269, 0.309, 0.358, 0.238, 0.284
iaps,4290.jpg, 0.291, 0.383, 0.540, 0.341, 0.496, 0.387
iaps,4300.jpg, 0.101, 0.237, 0.437, 0.441, 0.218, 0.307
iaps,4302.jpg, 0.284, 0.360, 0.204, 0.304, 0.423, 0.414
iaps,4310.jpg, 0.080, 0.233, 0.353, 0.389, 0.213, 0.262
iaps,4311.jpg, 0.110, 0.217, 0.487, 0.290, 0.566, 0.301
iaps,4320.jpg, 0.103, 0.219, 0.593, 0.351, 0.379, 0.370
iaps,4325.jpg, 0.242, 0.289, 0.254, 0.310, 0.388, 0.382
iaps,4460.jpg, 0.047, 0.130, 0.175, 0.258, 0.210, 0.312
iaps,4470.jpg, 0.211, 0.286, 0.370, 0.301, 0.654, 0.228
iaps,4490.jpg, 0.060, 0.134, 0.410, 0.307, 0.850, 0.249
iaps,4500.jpg, 0.119, 0.145, 0.337, 0.280, 0.880, 0.243
iaps,4503.jpg, 0.156, 0.311, 0.281, 0.299, 0.235, 0.255
iaps,4505.jpg, 0.221, 0.314, 0.378, 0.266, 0.584, 0.311
iaps,4510.jpg, 0.288, 0.401, 0.321, 0.256, 0.802, 0.258
iaps,4520.jpg, 0.144, 0.104, 0.172, 0.232, 0.831, 0.263
iaps,4525.jpg, 0.238, 0.213, 0.432, 0.212, 0.418, 0.349
iaps,4530.jpg, 0.088, 0.179, 0.431, 0.242, 0.850, 0.206
iaps,4531.jpg, 0.676, 0.260, 0.488, 0.207, 0.378, 0.280
iaps,4532.jpg, 0.166, 0.278, 0.341, 0.372, 0.203, 0.293
iaps,4533.jpg, 0.202, 0.282, 0.388, 0.314, 0.399, 0.319
iaps,4534.jpg, 0.451, 0.327, 0.566, 0.311, 0.448, 0.299
iaps,4535.jpg, 0.159, 0.310, 0.248, 0.329, 0.250, 0.344
iaps,4536.jpg, 0.238, 0.316, 0.331, 0.377, 0.204, 0.264
iaps,4537.jpg, 0.257, 0.300, 0.260, 0.263, 0.431, 0.454
iaps,4538.jpg, 0.126, 0.268, 0.168, 0.271, 0.356, 0.383
iaps,4542.jpg, 0.338, 0.360, 0.408, 0.273, 0.729, 0.235
iaps,4550.jpg, 0.121, 0.281, 0.291, 0.364, 0.204, 0.295
iaps,4559.jpg, 0.405, 0.292, 0.288, 0.132, 0.462, 0.245
iaps,4561.jpg, 0.433, 0.246, 0.174, 0.228, 0.783, 0.154
iaps,4571.jpg, 0.280, 0.354, 0.260, 0.308, 0.215, 0.272
iaps,4572.jpg, 0.344, 0.371, 0.589, 0.303, 0.410, 0.261
iaps,4573.jpg, 0.422, 0.184, 0.604, 0.227, 0.387, 0.277
iaps,4574.jpg, 0.277, 0.394, 0.335, 0.166, 0.525, 0.262
iaps,4575.jpg, 0.231, 0.273, 0.298, 0.252, 0.693, 0.338
iaps,4597.jpg, 0.299, 0.306, 0.395, 0.311, 0.340, 0.326
iaps,4598.jpg, 0.130, 0.139, 0.440, 0.250, 0.475, 0.308
iaps,4599.jpg, 0.230, 0.272, 0.340, 0.359, 0.614, 0.345
iaps,4600.jpg, 0.192, 0.249, 0.196, 0.175, 0.566, 0.186
iaps,4601.jpg, 0.128, 0.268, 0.309, 0.349, 0.267, 0.324
iaps,4603.jpg, 0.163, 0.312, 0.263, 0.370, 0.226, 0.321
iaps,4604.jpg, 0.223, 0.252, 0.454, 0.216, 0.846, 0.230
iaps,4605.jpg, 0.296, 0.373, 0.235, 0.264, 0.235, 0.298
iaps,4606.jpg, 0.103, 0.200, 0.401, 0.382, 0.277, 0.312
iaps,4607.jpg, 0.154, 0.285, 0.311, 0.335, 0.328, 0.355
iaps,4608.jpg, 0.256, 0.295, 0.275, 0.304, 0.253, 0.339
iaps,4609.jpg, 0.118, 0.215, 0.299, 0.344, 0.380, 0.427
iaps,4610.jpg, 0.312, 0.335, 0.313, 0.335, 0.479, 0.408
iaps,4611.jpg, 0.160, 0.196, 0.500, 0.328, 0.632, 0.235
iaps,4612.jpg, 0.360, 0.240, 0.277, 0.137, 0.587, 0.137
iaps,4613.jpg, 0.075, 0.106, 0.426, 0.208, 0.504, 0.318
iaps,4614.jpg, 0.101, 0.088, 0.557, 0.216, 0.585, 0.298
iaps,4616.jpg, 0.169, 0.261, 0.216, 0.174, 0.810, 0.199
iaps,4617.jpg, 0.221, 0.277, 0.723, 0.249, 0.390, 0.348
iaps,4619.jpg, 0.144, 0.202, 0.349, 0.291, 0.602, 0.410
iaps,4621.jpg, 0.120, 0.253, 0.195, 0.211, 0.329, 0.354
iaps,4622.jpg, 0.324, 0.343, 0.218, 0.238, 0.292, 0.335
iaps,4623.jpg, 0.104, 0.171, 0.287, 0.313, 0.296, 0.339
iaps,4624.jpg, 0.364, 0.345, 0.401, 0.194, 0.440, 0.360
iaps,4625.jpg, 0.515, 0.377, 0.313, 0.190, 0.295, 0.267
iaps,4626.jpg, 0.397, 0.349, 0.229, 0.267, 0.429, 0.391
iaps,4628.jpg, 0.291, 0.411, 0.371, 0.341, 0.663, 0.245
iaps,4631.jpg, 0.467, 0.337, 0.757, 0.290, 0.250, 0.333
iaps,4635.jpg, 0.620, 0.409, 0.359, 0.168, 0.428, 0.255
iaps,4640.jpg, 0.580, 0.323, 0.286, 0.243, 0.408, 0.320
iaps,4641.jpg, 0.534, 0.295, 0.698, 0.184, 0.736, 0.228
iaps,4643.jpg, 0.195, 0.237, 0.417, 0.301, 0.684, 0.302
iaps,4645.jpg, 0.063, 0.123, 0.496, 0.217, 0.679, 0.199
iaps,4647.jpg, 0.066, 0.089, 0.466, 0.280, 0.521, 0.340
iaps,4649.jpg, 0.178, 0.286, 0.393, 0.270, 0.452, 0.348
iaps,4650.jpg, 0.095, 0.157, 0.532, 0.270, 0.715, 0.317
iaps,4651.jpg, 0.144, 0.295, 0.369, 0.395, 0.322, 0.399
iaps,4652.jpg, 0.058, 0.145, 0.402, 0.405, 0.386, 0.419
iaps,4653.jpg, 0.185, 0.213, 0.551, 0.312, 0.658, 0.281
iaps,4656.jpg, 0.031, 0.060, 0.490, 0.464, 0.318, 0.353
iaps,4658.jpg, 0.065, 0.139, 0.518, 0.200, 0.780, 0.170
iaps,4659.jpg, 0.061, 0.090, 0.697, 0.314, 0.603, 0.248
iaps,4660.jpg, 0.358, 0.449, 0.509, 0.257, 0.577, 0.372
iaps,4664.1.jpg, 0.067, 0.183, 0.300, 0.369, 0.251, 0.321
iaps,4664.2.jpg, 0.085, 0.186, 0.317, 0.382, 0.270, 0.365
iaps,4664.jpg, 0.067, 0.183, 0.300, 0.369, 0.251, 0.321
iaps,4666.jpg, 0.114, 0.105, 0.577, 0.331, 0.578, 0.316
iaps,4668.jpg, 0.233, 0.332, 0.451, 0.212, 0.556, 0.274
iaps,4669.jpg, 0.404, 0.430, 0.659, 0.194, 0.680, 0.306
iaps,4670.jpg, 0.106, 0.243, 0.311, 0.347, 0.299, 0.362
iaps,4672.jpg, 0.200, 0.370, 0.321, 0.359, 0.314, 0.355
iaps,4676.jpg, 0.081, 0.137, 0.490, 0.330, 0.347, 0.298
iaps,4677.jpg, 0.107, 0.265, 0.304, 0.278, 0.355, 0.330
iaps,4680.jpg, 0.156, 0.303, 0.582, 0.288, 0.599, 0.288
iaps,4681.jpg, 0.100, 0.169, 0.345, 0.389, 0.183, 0.260
iaps,4683.jpg, 0.083, 0.139, 0.447, 0.451, 0.250, 0.377
iaps,4687.jpg, 0.187, 0.146, 0.833, 0.153, 0.433, 0.389
iaps,4689.jpg, 0.103, 0.150, 0.415, 0.377, 0.247, 0.289
iaps,4690.jpg, 0.298, 0.391, 0.506, 0.281, 0.784, 0.225
iaps,4692.jpg, 0.166, 0.226, 0.533, 0.243, 0.632, 0.249
iaps,4693.jpg, 0.133, 0.269, 0.506, 0.210, 0.632, 0.327
iaps,4694.jpg, 0.151, 0.298, 0.620, 0.293, 0.565, 0.288
iaps,4695.jpg, 0.152, 0.243, 0.496, 0.265, 0.639, 0.262
iaps,4697.jpg, 0.112, 0.236, 0.355, 0.239, 0.761, 0.220
iaps,4698.jpg, 0.086, 0.215, 0.600, 0.210, 0.667, 0.272
iaps,4700.jpg, 0.392, 0.401, 0.462, 0.315, 0.358, 0.262
iaps,4750.jpg, 0.037, 0.057, 0.396, 0.387, 0.265, 0.309
iaps,4770.jpg, 0.134, 0.220, 0.871, 0.110, 0.403, 0.280
iaps,4800.jpg, 0.274, 0.354, 0.564, 0.259, 0.535, 0.306
iaps,4810.jpg, 0.073, 0.169, 0.278, 0.299, 0.267, 0.323
iaps,5000.jpg, 0.142, 0.176, 0.559, 0.375, 0.332, 0.333
iaps,5001.jpg, 0.124, 0.192, 0.483, 0.375, 0.338, 0.334
iaps,5010.jpg, 0.268, 0.312, 0.708, 0.206, 0.589, 0.225
iaps,5020.jpg, 0.148, 0.169, 0.713, 0.255, 0.498, 0.275
iaps,5030.jpg, 0.147, 0.175, 0.571, 0.332, 0.430, 0.299
iaps,5040.jpg, 0.225, 0.292, 0.727, 0.210, 0.496, 0.276
iaps,5120.jpg, 0.154, 0.154, 0.532, 0.255, 0.578, 0.244
iaps,5130.jpg, 0.153, 0.151, 0.577, 0.251, 0.423, 0.294
iaps,5199.jpg, 0.271, 0.185, 0.545, 0.239, 0.499, 0.320
iaps,5200.jpg, 0.230, 0.221, 0.764, 0.328, 0.405, 0.268
iaps,5201.jpg, 0.457, 0.350, 0.448, 0.298, 0.442, 0.347
iaps,5202.jpg, 0.549, 0.427, 0.572, 0.216, 0.582, 0.369
iaps,5210.jpg, 0.404, 0.253, 0.287, 0.239, 0.648, 0.187
iaps,5215.jpg, 0.521, 0.171, 0.278, 0.196, 0.644, 0.284
iaps,5220.jpg, 0.255, 0.189, 0.476, 0.359, 0.342, 0.317
iaps,5250.jpg, 0.187, 0.179, 0.460, 0.326, 0.497, 0.296
iaps,5260.jpg, 0.438, 0.163, 0.207, 0.150, 0.548, 0.260
iaps,5270.jpg, 0.253, 0.324, 0.414, 0.366, 0.283, 0.328
iaps,5300.jpg, 0.552, 0.411, 0.584, 0.389, 0.147, 0.215
iaps,5301.jpg, 0.287, 0.306, 0.399, 0.355, 0.052, 0.118
iaps,5390.jpg, 0.409, 0.182, 0.126, 0.159, 0.579, 0.266
iaps,5395.jpg, 0.191, 0.227, 0.773, 0.316, 0.682, 0.296
iaps,5410.jpg, 0.086, 0.133, 0.493, 0.348, 0.441, 0.359
iaps,5450.jpg, 0.430, 0.229, 0.375, 0.177, 0.586, 0.210
iaps,5455.jpg, 0.236, 0.171, 0.722, 0.289, 0.384, 0.329
iaps,5460.jpg, 0.227, 0.235, 0.436, 0.343, 0.371, 0.344
iaps,5470.jpg, 0.332, 0.284, 0.259, 0.266, 0.471, 0.352
iaps,5471.jpg, 0.477, 0.240, 0.314, 0.263, 0.641, 0.221
iaps,5480.jpg, 0.273, 0.309, 0.617, 0.354, 0.403, 0.328
iaps,5500.jpg, 0.134, 0.265, 0.566, 0.407, 0.368, 0.372
iaps,5510.jpg, 0.343, 0.357, 0.610, 0.357, 0.283, 0.362
iaps,5520.jpg, 0.101, 0.166, 0.717, 0.259, 0.482, 0.316
iaps,5530.jpg, 0.186, 0.195, 0.560, 0.377, 0.310, 0.323
iaps,5531.jpg, 0.166, 0.184, 0.546, 0.243, 0.513, 0.301
iaps,5532.jpg, 0.260, 0.328, 0.552, 0.249, 0.472, 0.331
iaps,5533.jpg, 0.257, 0.392, 0.494, 0.308, 0.314, 0.303
iaps,5534.jpg, 0.256, 0.311, 0.428, 0.219, 0.505, 0.333
iaps,5535.jpg, 0.479, 0.394, 0.249, 0.202, 0.617, 0.220
iaps,5551.jpg, 0.387, 0.327, 0.204, 0.233, 0.401, 0.350
iaps,5593.jpg, 0.517, 0.209, 0.405, 0.244, 0.634, 0.204
iaps,5594.jpg, 0.463, 0.225, 0.140, 0.078, 0.403, 0.168
iaps,5600.jpg, 0.624, 0.058, 0.531, 0.277, 0.723, 0.211
iaps,5611.jpg, 0.495, 0.339, 0.718, 0.323, 0.229, 0.291
iaps,5621.jpg, 0.565, 0.216, 0.513, 0.218, 0.348, 0.156
iaps,5622.jpg, 0.572, 0.168, 0.789, 0.265, 0.537, 0.241
iaps,5623.jpg, 0.602, 0.131, 0.489, 0.209, 0.439, 0.288
iaps,5626.jpg, 0.670, 0.171, 0.359, 0.180, 0.418, 0.327
iaps,5628.jpg, 0.539, 0.239, 0.235, 0.284, 0.673, 0.334
iaps,5629.jpg, 0.485, 0.227, 0.299, 0.300, 0.572, 0.344
iaps,5631.jpg, 0.567, 0.030, 0.669, 0.264, 0.707, 0.200
iaps,5635.jpg, 0.516, 0.350, 0.219, 0.253, 0.672, 0.334
iaps,5660.jpg, 0.328, 0.258, 0.418, 0.213, 0.633, 0.273
iaps,5661.jpg, 0.293, 0.387, 0.604, 0.267, 0.517, 0.242
iaps,5665.jpg, 0.484, 0.377, 0.244, 0.130, 0.596, 0.288
iaps,5700.jpg, 0.640, 0.329, 0.360, 0.276, 0.462, 0.283
iaps,5711.jpg, 0.335, 0.331, 0.276, 0.243, 0.592, 0.319
iaps,5720.jpg, 0.156, 0.077, 0.523, 0.219, 0.436, 0.179
iaps,5725.jpg, 0.429, 0.209, 0.320, 0.219, 0.711, 0.210
iaps,5726.jpg, 0.352, 0.241, 0.464, 0.291, 0.709, 0.256
iaps,5731.jpg, 0.360, 0.259, 0.488, 0.263, 0.523, 0.324
iaps,5740.jpg, 0.243, 0.371, 0.300, 0.322, 0.390, 0.315
iaps,5750.jpg, 0.233, 0.099, 0.764, 0.275, 0.396, 0.282
iaps,5760.jpg, 0.341, 0.207, 0.513, 0.248, 0.710, 0.258
iaps,5764.jpg, 0.539, 0.077, 0.486, 0.204, 0.541, 0.246
iaps,5779.jpg, 0.071, 0.099, 0.422, 0.410, 0.258, 0.304
iaps,5780.jpg, 0.369, 0.167, 0.347, 0.273, 0.555, 0.367
iaps,5781.jpg, 0.131, 0.110, 0.430, 0.215, 0.400, 0.241
iaps,5800.jpg, 0.239, 0.118, 0.804, 0.288, 0.325, 0.288
iaps,5811.jpg, 0.285, 0.357, 0.519, 0.250, 0.436, 0.264
iaps,5814.jpg, 0.155, 0.142, 0.300, 0.234, 0.579, 0.300
iaps,5820.jpg, 0.399, 0.202, 0.242, 0.206, 0.541, 0.331
iaps,5825.jpg, 0.487, 0.171, 0.405, 0.228, 0.660, 0.265
iaps,5829.jpg, 0.056, 0.054, 0.595, 0.092, 0.638, 0.276
iaps,5830.jpg, 0.121, 0.156, 0.404, 0.301, 0.514, 0.392
iaps,5831.jpg, 0.544, 0.100, 0.475, 0.194, 0.677, 0.209
iaps,5833.jpg, 0.447, 0.215, 0.380, 0.309, 0.633, 0.286
iaps,5836.jpg, 0.390, 0.204, 0.289, 0.154, 0.686, 0.176
iaps,5849.jpg, 0.154, 0.192, 0.561, 0.328, 0.556, 0.293
iaps,5870.jpg, 0.490, 0.149, 0.244, 0.191, 0.635, 0.163
iaps,5875.jpg, 0.158, 0.071, 0.811, 0.250, 0.509, 0.327
iaps,5890.jpg, 0.547, 0.350, 0.370, 0.395, 0.296, 0.313
iaps,5891.jpg, 0.511, 0.233, 0.224, 0.225, 0.645, 0.236
iaps,5900.jpg, 0.317, 0.255, 0.276, 0.178, 0.658, 0.232
iaps,5910.jpg, 0.284, 0.367, 0.315, 0.301, 0.190, 0.247
iaps,5920.jpg, 0.083, 0.133, 0.953, 0.148, 0.427, 0.290
iaps,5940.jpg, 0.277, 0.261, 0.313, 0.304, 0.298, 0.267
iaps,5950.jpg, 0.657, 0.266, 0.341, 0.281, 0.369, 0.247
iaps,5961.jpg, 0.304, 0.373, 0.630, 0.306, 0.156, 0.203
iaps,5970.jpg, 0.600, 0.127, 0.367, 0.375, 0.278, 0.183
iaps,5971.jpg, 0.250, 0.104, 0.453, 0.190, 0.586, 0.367
iaps,5972.jpg, 0.107, 0.147, 0.340, 0.340, 0.244, 0.338
iaps,5973.jpg, 0.300, 0.133, 0.285, 0.234, 0.344, 0.277
iaps,5982.jpg, 0.483, 0.196, 0.343, 0.229, 0.511, 0.197
iaps,5990.jpg, 0.128, 0.274, 0.875, 0.198, 0.424, 0.329
iaps,5991.jpg, 0.079, 0.081, 0.434, 0.137, 0.721, 0.146
iaps,5994.jpg, 0.745, 0.320, 0.624, 0.250, 0.535, 0.280
iaps,6000.jpg, 0.118, 0.093, 0.680, 0.219, 0.354, 0.248
iaps,6010.jpg, 0.271, 0.361, 0.406, 0.383, 0.222, 0.301
iaps,6020.jpg, 0.135, 0.273, 0.357, 0.333, 0.542, 0.349
iaps,6021.jpg, 0.463, 0.334, 0.369, 0.315, 0.286, 0.287
iaps,6022.jpg, 0.221, 0.313, 0.185, 0.257, 0.302, 0.373
