ImageSet,File,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
iaps,1661.jpg, 0.079, 0.136, 0.267, 0.345, 0.173, 0.296
iaps,1670.jpg, 0.208, 0.075, 0.517, 0.283, 0.592, 0.332
iaps,1675.jpg, 0.126, 0.199, 0.259, 0.223, 0.380, 0.340
iaps,1710.jpg, 0.112, 0.105, 0.523, 0.286, 0.574, 0.302
iaps,1720.jpg, 0.104, 0.050, 0.505, 0.238, 0.520, 0.280
iaps,1721.jpg, 0.267, 0.293, 0.654, 0.223, 0.311, 0.251
iaps,1722.jpg, 0.178, 0.079, 0.765, 0.173, 0.418, 0.289
iaps,1726.jpg, 0.166, 0.188, 0.617, 0.257, 0.401, 0.239
iaps,1731.jpg, 0.519, 0.189, 0.413, 0.312, 0.598, 0.281
iaps,1740.jpg, 0.206, 0.130, 0.404, 0.276, 0.453, 0.253
iaps,1750.jpg, 0.188, 0.341, 0.833, 0.177, 0.398, 0.276
iaps,1810.jpg, 0.096, 0.098, 0.564, 0.253, 0.368, 0.201
iaps,1811.jpg, 0.101, 0.230, 0.400, 0.406, 0.303, 0.384
iaps,1812.jpg, 0.211, 0.169, 0.534, 0.204, 0.243, 0.166
iaps,1820.jpg, 0.546, 0.388, 0.274, 0.166, 0.355, 0.227
iaps,1850.jpg, 0.229, 0.201, 0.245, 0.349, 0.557, 0.379
iaps,1900.jpg, 0.500, 0.406, 0.423, 0.250, 0.612, 0.265
iaps,1903.jpg, 0.469, 0.189, 0.252, 0.216, 0.914, 0.070
iaps,1908.jpg, 0.150, 0.233, 0.454, 0.367, 0.307, 0.349
iaps,1910.jpg, 0.091, 0.219, 0.833, 0.213, 0.367, 0.237
iaps,1920.jpg, 0.513, 0.160, 0.307, 0.151, 0.604, 0.214
iaps,1930.jpg, 0.202, 0.190, 0.484, 0.367, 0.290, 0.293
iaps,1931.jpg, 0.571, 0.028, 0.917, 0.123, 0.691, 0.140
iaps,1932.jpg, 0.628, 0.225, 0.272, 0.170, 0.384, 0.289
iaps,1935.jpg, 0.249, 0.175, 0.300, 0.207, 0.378, 0.289
