"file","arousal","craving","related","typicality","valence"
"control_objects_hands25.jpg",2.7,3,0,35,5.7
"control_objects_hands26.jpg",2.72727272727273,6.72727272727273,0,45.8181818181818,6.45454545454545
"control_objects_hands27.jpg",2.8,12.3,0,46.4,5.6
"control_objects_hands28.jpg",3,10.3636363636364,0,38.2727272727273,5.27272727272727
"control_objects_hands29.jpg",2.7,12.5,0,47.9,6.1
"control_objects_hands30.jpg",2.7,13.2,0,40.6,5.9
"control_objects_hands31.jpg",3.22222222222222,9.88888888888889,0,47.3333333333333,5.55555555555556
"control_objects_hands32.jpg",2.1,2.5,0,27,5.3
"control_objects_hands33.jpg",2.7,1.7,0,40.1,5.7
"control_objects_hands34.jpg",3.18181818181818,15.0909090909091,0,61.8181818181818,6.36363636363636
"control_objects_hands35.jpg",2.9,2.2,0,49.8,7
"control_objects_hands36.jpg",2.6,2.9,0,32.3,6.1
"control_objects01.jpg",2.7,8.5,0,27.6,6.6
"control_objects02.jpg",3.63636363636364,24.1818181818182,0.0909090909090909,37,4.63636363636364
"control_objects03.jpg",3,4.5,0,25.7,6.1
"control_objects04.jpg",3.3,10.7,0,35,5.3
"control_objects05.jpg",3.09090909090909,22.2727272727273,0.272727272727273,36.6363636363636,5.45454545454545
"control_objects06.jpg",2.54545454545455,7.36363636363636,0.0909090909090909,40.8181818181818,6.09090909090909
"control_objects07.jpg",3,7.3,0.1,24.9,6
"control_objects08.jpg",2.33333333333333,8.77777777777778,0.111111111111111,44.5555555555556,5.44444444444444
"control_objects09.jpg",2.63636363636364,6.45454545454545,0,15.6363636363636,5.90909090909091
"control_objects10.jpg",3,3.2,0,22.2,6.1
"control_objects11.jpg",3.9,8.8,0.1,45.5,5.9
"control_objects12.jpg",2.5,8.2,0,24.6,5.5
"control_tools_faces61.jpg",2.66666666666667,9,0,31.2222222222222,6.44444444444444
"control_tools_faces62.jpg",3.54545454545455,8.45454545454546,0,31.2727272727273,6.45454545454545
"control_tools_faces63.jpg",3.54545454545455,12.0909090909091,0,63.4545454545455,6.18181818181818
"control_tools_faces64.jpg",3.1,10.4,0,36.9,6.4
"control_tools_faces65.jpg",3.4,3.1,0,42.1,6.8
"control_tools_faces66.jpg",3,8,0,36.4,6.6
"control_tools_faces67.jpg",2.3,3.1,0,41.7,6.4
"control_tools_faces68.jpg",3.2,8.4,0,35.4,6.4
"control_tools_faces69.jpg",2.72727272727273,4.45454545454545,0,31.9090909090909,6.18181818181818
"control_tools_faces70.jpg",2.81818181818182,1.81818181818182,0,61.6363636363636,6.72727272727273
"control_tools_faces71.jpg",3.18181818181818,2.63636363636364,0,48.6363636363636,6.09090909090909
"control_tools_faces72.jpg",2.63636363636364,2.81818181818182,0,31.5454545454545,5.90909090909091
"control_tools_hands37.jpg",3.7,21.1,0.2,27.7,6
"control_tools_hands38.jpg",2.33333333333333,3,0,42,5.44444444444444
"control_tools_hands39.jpg",3,6.54545454545455,0,38.0909090909091,6.18181818181818
"control_tools_hands40.jpg",3.2,3.3,0,41.1,5.4
"control_tools_hands41.jpg",3.54545454545455,8.09090909090909,0,26.0909090909091,6
"control_tools_hands42.jpg",2.81818181818182,6.81818181818182,0,69,5.90909090909091
"control_tools_hands43.jpg",2.9,2.8,0,21.6,5.8
