file,hue,saturation,value
substance_instruments_hands073.jpg, 0.237, 0.442, 0.262
substance_instruments_hands074.jpg, 0.221, 0.397, 0.296
substance_instruments_hands075.jpg, 0.129, 0.469, 0.312
substance_instruments_hands076.jpg, 0.124, 0.278, 0.359
control_objects01.jpg, 0.194, 0.057, 0.873
control_objects02.jpg, 0.028, 0.027, 0.947
control_objects03.jpg, 0.393, 0.090, 0.611
control_objects04.jpg, 0.182, 0.394, 0.529
control_objects05.jpg, 0.252, 0.129, 0.171
control_objects06.jpg, 0.000, 0.000, 0.544
control_objects07.jpg, 0.036, 0.084, 0.906
control_objects08.jpg, 0.040, 0.041, 0.893
control_objects09.jpg, 0.228, 0.374, 0.639
control_objects10.jpg, 0.254, 0.168, 0.570
control_objects11.jpg, 0.117, 0.078, 0.644
control_objects12.jpg, 0.049, 0.003, 0.984
control_objects_hands25.jpg, 0.428, 0.273, 0.522
control_objects_hands26.jpg, 0.302, 0.316, 0.416
control_objects_hands27.jpg, 0.533, 0.257, 0.453
control_objects_hands28.jpg, 0.386, 0.261, 0.505
control_objects_hands29.jpg, 0.104, 0.354, 0.630
control_objects_hands30.jpg, 0.358, 0.151, 0.588
control_objects_hands31.jpg, 0.082, 0.429, 0.743
control_objects_hands32.jpg, 0.136, 0.481, 0.849
control_objects_hands33.jpg, 0.064, 0.219, 0.274
control_objects_hands34.jpg, 0.017, 0.124, 0.192
control_objects_hands35.jpg, 0.069, 0.439, 0.624
control_objects_hands36.jpg, 0.374, 0.233, 0.562
control_tools13.jpg, 0.617, 0.317, 0.241
control_tools14.jpg, 0.292, 0.227, 0.163
control_tools15.jpg, 0.025, 0.028, 0.966
control_tools16.jpg, 0.000, 0.000, 0.977
control_tools17.jpg, 0.247, 0.204, 0.719
control_tools18.jpg, 0.101, 0.366, 0.508
control_tools19.jpg, 0.038, 0.127, 0.166
control_tools20.jpg, 0.045, 0.037, 0.056
control_tools21.jpg, 0.092, 0.080, 0.049
control_tools22.jpg, 0.098, 0.060, 0.129
control_tools23.jpg, 0.008, 0.000, 0.333
control_tools24.jpg, 0.027, 0.072, 0.199
control_tools_faces61.jpg, 0.393, 0.305, 0.591
control_tools_faces62.jpg, 0.197, 0.412, 0.263
control_tools_faces63.jpg, 0.356, 0.127, 0.528
control_tools_faces64.jpg, 0.088, 0.522, 0.621
