file,hue_mean,hue_sd,saturation_mean, saturation_sd,value_mean, value_sd
substance_injection_instruments120.jpg, 0.816, 0.261, 0.291, 0.147, 0.097, 0.219
substance_instruments033.jpg, 0.709, 0.182, 0.225, 0.178, 0.192, 0.224
substance_instruments034.jpg, 0.070, 0.142, 0.158, 0.174, 0.122, 0.148
substance_instruments035.jpg, 0.011, 0.040, 0.019, 0.081, 0.974, 0.081
substance_instruments036.jpg, 0.074, 0.214, 0.042, 0.117, 0.928, 0.177
substance_instruments037.jpg, 0.256, 0.230, 0.091, 0.092, 0.365, 0.152
substance_instruments038.jpg, 0.093, 0.097, 0.646, 0.237, 0.611, 0.169
substance_instruments039.jpg, 0.219, 0.270, 0.210, 0.342, 0.177, 0.315
substance_instruments040.jpg, 0.127, 0.180, 0.397, 0.263, 0.203, 0.202
substance_instruments041.jpg, 0.376, 0.264, 0.189, 0.207, 0.490, 0.118
substance_instruments042.jpg, 0.310, 0.268, 0.187, 0.165, 0.461, 0.170
substance_instruments043.jpg, 0.537, 0.276, 0.407, 0.285, 0.323, 0.294
substance_instruments044.jpg, 0.000, 0.000, 0.000, 0.000, 0.235, 0.281
substance_instruments045.jpg, 0.221, 0.237, 0.292, 0.230, 0.421, 0.283
substance_instruments046.jpg, 0.309, 0.240, 0.231, 0.179, 0.360, 0.263
substance_instruments047.jpg, 0.231, 0.205, 0.324, 0.395, 0.194, 0.260
substance_instruments048.jpg, 0.323, 0.404, 0.180, 0.217, 0.660, 0.263
substance_instruments049.jpg, 0.501, 0.380, 0.060, 0.104, 0.912, 0.122
substance_instruments050.jpg, 0.090, 0.039, 0.344, 0.162, 0.457, 0.156
substance_instruments051.jpg, 0.458, 0.310, 0.559, 0.409, 0.027, 0.076
substance_instruments052.jpg, 0.173, 0.300, 0.226, 0.399, 0.028, 0.118
substance_instruments053.jpg, 0.032, 0.137, 0.012, 0.056, 0.982, 0.072
substance_instruments054.jpg, 0.029, 0.095, 0.040, 0.142, 0.964, 0.115
substance_instruments055.jpg, 0.032, 0.067, 0.073, 0.173, 0.929, 0.157
substance_instruments056.jpg, 0.678, 0.125, 0.751, 0.259, 0.690, 0.267
substance_instruments_hands057.jpg, 0.497, 0.428, 0.592, 0.286, 0.225, 0.278
substance_instruments_hands058.jpg, 0.310, 0.356, 0.260, 0.168, 0.337, 0.352
substance_instruments_hands059.jpg, 0.196, 0.370, 0.259, 0.360, 0.083, 0.152
substance_instruments_hands060.jpg, 0.299, 0.341, 0.500, 0.354, 0.110, 0.189
substance_instruments_hands061.jpg, 0.109, 0.078, 0.468, 0.203, 0.377, 0.254
substance_instruments_hands062.jpg, 0.139, 0.174, 0.419, 0.258, 0.311, 0.288
substance_instruments_hands063.jpg, 0.226, 0.295, 0.388, 0.402, 0.180, 0.281
substance_instruments_hands064.jpg, 0.377, 0.398, 0.498, 0.399, 0.100, 0.166
substance_instruments_hands065.jpg, 0.264, 0.389, 0.427, 0.297, 0.620, 0.243
substance_instruments_hands066.jpg, 0.272, 0.254, 0.310, 0.142, 0.421, 0.298
substance_instruments_hands067.jpg, 0.641, 0.302, 0.154, 0.126, 0.444, 0.152
substance_instruments_hands068.jpg, 0.324, 0.330, 0.200, 0.242, 0.296, 0.358
substance_instruments_hands069.jpg, 0.117, 0.103, 0.462, 0.192, 0.680, 0.207
substance_instruments_hands070.jpg, 0.089, 0.175, 0.446, 0.199, 0.417, 0.232
substance_instruments_hands071.jpg, 0.145, 0.276, 0.289, 0.355, 0.129, 0.199
substance_instruments_hands072.jpg, 0.219, 0.314, 0.432, 0.446, 0.112, 0.206
substance_instruments_hands073.jpg, 0.237, 0.279, 0.442, 0.316, 0.262, 0.244
substance_instruments_hands074.jpg, 0.221, 0.287, 0.397, 0.335, 0.296, 0.213
substance_instruments_hands075.jpg, 0.129, 0.201, 0.469, 0.265, 0.312, 0.319
substance_instruments_hands076.jpg, 0.124, 0.209, 0.278, 0.267, 0.359, 0.325
control_objects01.jpg, 0.194, 0.376, 0.057, 0.114, 0.873, 0.222
control_objects02.jpg, 0.028, 0.093, 0.027, 0.067, 0.947, 0.134
control_objects03.jpg, 0.393, 0.298, 0.090, 0.150, 0.611, 0.175
control_objects04.jpg, 0.182, 0.275, 0.394, 0.247, 0.529, 0.135
control_objects05.jpg, 0.252, 0.286, 0.129, 0.158, 0.171, 0.200
control_objects06.jpg, 0.000, 0.002, 0.000, 0.000, 0.544, 0.219
control_objects07.jpg, 0.036, 0.092, 0.084, 0.163, 0.906, 0.200
control_objects08.jpg, 0.040, 0.082, 0.041, 0.094, 0.893, 0.207
control_objects09.jpg, 0.298, 0.388, 0.477, 0.229, 0.557, 0.234
control_objects10.jpg, 0.279, 0.262, 0.183, 0.159, 0.534, 0.246
